date,time,time_zone,tide_m
2022-07-04,0:52,PDT,2.289041
2022-07-04,0:53,PDT,2.294974
2022-07-04,0:54,PDT,2.300921
2022-07-04,0:55,PDT,2.306883
2022-07-04,0:56,PDT,2.312858
2022-07-04,0:57,PDT,2.318846
2022-07-04,0:58,PDT,2.324847
2022-07-04,0:59,PDT,2.330859
2022-07-04,1:00,PDT,2.336883
2022-07-04,1:01,PDT,2.342918
2022-07-04,1:02,PDT,2.348963
2022-07-04,1:03,PDT,2.355018
2022-07-04,1:04,PDT,2.361082
2022-07-04,1:05,PDT,2.367154
2022-07-04,1:06,PDT,2.373235
2022-07-04,1:07,PDT,2.379322
2022-07-04,1:08,PDT,2.385417
2022-07-04,1:09,PDT,2.391518
2022-07-04,1:10,PDT,2.397624
2022-07-04,1:11,PDT,2.403735
2022-07-04,1:12,PDT,2.409851
2022-07-04,1:13,PDT,2.415971
2022-07-04,1:14,PDT,2.422093
2022-07-04,1:15,PDT,2.428219
2022-07-04,1:16,PDT,2.434346
2022-07-04,1:17,PDT,2.440475
2022-07-04,1:18,PDT,2.446605
2022-07-04,1:19,PDT,2.452734
2022-07-04,1:20,PDT,2.458864
2022-07-04,1:21,PDT,2.464992
2022-07-04,1:22,PDT,2.471118
2022-07-04,1:23,PDT,2.477243
2022-07-04,1:24,PDT,2.483364
2022-07-04,1:25,PDT,2.489482
2022-07-04,1:26,PDT,2.495596
2022-07-04,1:27,PDT,2.501705
2022-07-04,1:28,PDT,2.507808
2022-07-04,1:29,PDT,2.513905
2022-07-04,1:30,PDT,2.519996
2022-07-04,1:31,PDT,2.52608
2022-07-04,1:32,PDT,2.532155
2022-07-04,1:33,PDT,2.538223
2022-07-04,1:34,PDT,2.544281
2022-07-04,1:35,PDT,2.550329
2022-07-04,1:36,PDT,2.556367
2022-07-04,1:37,PDT,2.562393
2022-07-04,1:38,PDT,2.568408
2022-07-04,1:39,PDT,2.574411
2022-07-04,1:40,PDT,2.580401
2022-07-04,1:41,PDT,2.586378
2022-07-04,1:42,PDT,2.59234
2022-07-04,1:43,PDT,2.598288
2022-07-04,1:44,PDT,2.60422
2022-07-04,1:45,PDT,2.610136
2022-07-04,1:46,PDT,2.616036
2022-07-04,1:47,PDT,2.621919
2022-07-04,1:48,PDT,2.627783
2022-07-04,1:49,PDT,2.63363
2022-07-04,1:50,PDT,2.639457
2022-07-04,1:51,PDT,2.645265
2022-07-04,1:52,PDT,2.651052
2022-07-04,1:53,PDT,2.656819
2022-07-04,1:54,PDT,2.662564
2022-07-04,1:55,PDT,2.668288
2022-07-04,1:56,PDT,2.673988
2022-07-04,1:57,PDT,2.679666
2022-07-04,1:58,PDT,2.68532
2022-07-04,1:59,PDT,2.690949
2022-07-04,2:00,PDT,2.696554
2022-07-04,2:01,PDT,2.702133
2022-07-04,2:02,PDT,2.707686
2022-07-04,2:03,PDT,2.713213
2022-07-04,2:04,PDT,2.718712
2022-07-04,2:05,PDT,2.724184
2022-07-04,2:06,PDT,2.729627
2022-07-04,2:07,PDT,2.735042
2022-07-04,2:08,PDT,2.740427
2022-07-04,2:09,PDT,2.745782
2022-07-04,2:10,PDT,2.751107
2022-07-04,2:11,PDT,2.756401
2022-07-04,2:12,PDT,2.761663
2022-07-04,2:13,PDT,2.766893
2022-07-04,2:14,PDT,2.772091
2022-07-04,2:15,PDT,2.777256
2022-07-04,2:16,PDT,2.782387
2022-07-04,2:17,PDT,2.787484
2022-07-04,2:18,PDT,2.792547
2022-07-04,2:19,PDT,2.797574
2022-07-04,2:20,PDT,2.802566
2022-07-04,2:21,PDT,2.807522
2022-07-04,2:22,PDT,2.812441
2022-07-04,2:23,PDT,2.817323
2022-07-04,2:24,PDT,2.822168
2022-07-04,2:25,PDT,2.826975
2022-07-04,2:26,PDT,2.831743
2022-07-04,2:27,PDT,2.836473
2022-07-04,2:28,PDT,2.841163
2022-07-04,2:29,PDT,2.845814
2022-07-04,2:30,PDT,2.850424
2022-07-04,2:31,PDT,2.854993
2022-07-04,2:32,PDT,2.859522
2022-07-04,2:33,PDT,2.864009
2022-07-04,2:34,PDT,2.868454
2022-07-04,2:35,PDT,2.872857
2022-07-04,2:36,PDT,2.877216
2022-07-04,2:37,PDT,2.881533
2022-07-04,2:38,PDT,2.885806
2022-07-04,2:39,PDT,2.890035
2022-07-04,2:40,PDT,2.89422
2022-07-04,2:41,PDT,2.89836
2022-07-04,2:42,PDT,2.902455
2022-07-04,2:43,PDT,2.906504
2022-07-04,2:44,PDT,2.910508
2022-07-04,2:45,PDT,2.914465
2022-07-04,2:46,PDT,2.918376
2022-07-04,2:47,PDT,2.922239
2022-07-04,2:48,PDT,2.926055
2022-07-04,2:49,PDT,2.929824
2022-07-04,2:50,PDT,2.933544
2022-07-04,2:51,PDT,2.937216
2022-07-04,2:52,PDT,2.94084
2022-07-04,2:53,PDT,2.944414
2022-07-04,2:54,PDT,2.947939
2022-07-04,2:55,PDT,2.951414
2022-07-04,2:56,PDT,2.954839
2022-07-04,2:57,PDT,2.958214
2022-07-04,2:58,PDT,2.961538
2022-07-04,2:59,PDT,2.964811
2022-07-04,3:00,PDT,2.968033
2022-07-04,3:01,PDT,2.971203
2022-07-04,3:02,PDT,2.974322
2022-07-04,3:03,PDT,2.977388
2022-07-04,3:04,PDT,2.980402
2022-07-04,3:05,PDT,2.983363
2022-07-04,3:06,PDT,2.986271
2022-07-04,3:07,PDT,2.989125
2022-07-04,3:08,PDT,2.991927
2022-07-04,3:09,PDT,2.994674
2022-07-04,3:10,PDT,2.997367
2022-07-04,3:11,PDT,3.000006
2022-07-04,3:12,PDT,3.00259
2022-07-04,3:13,PDT,3.00512
2022-07-04,3:14,PDT,3.007594
2022-07-04,3:15,PDT,3.010012
2022-07-04,3:16,PDT,3.012376
2022-07-04,3:17,PDT,3.014683
2022-07-04,3:18,PDT,3.016934
2022-07-04,3:19,PDT,3.019129
2022-07-04,3:20,PDT,3.021267
2022-07-04,3:21,PDT,3.023348
2022-07-04,3:22,PDT,3.025372
2022-07-04,3:23,PDT,3.027339
2022-07-04,3:24,PDT,3.029249
2022-07-04,3:25,PDT,3.0311
2022-07-04,3:26,PDT,3.032894
2022-07-04,3:27,PDT,3.034629
2022-07-04,3:28,PDT,3.036306
2022-07-04,3:29,PDT,3.037925
2022-07-04,3:30,PDT,3.039484
2022-07-04,3:31,PDT,3.040985
2022-07-04,3:32,PDT,3.042426
2022-07-04,3:33,PDT,3.043808
2022-07-04,3:34,PDT,3.045131
2022-07-04,3:35,PDT,3.046393
2022-07-04,3:36,PDT,3.047595
2022-07-04,3:37,PDT,3.048738
2022-07-04,3:38,PDT,3.049819
2022-07-04,3:39,PDT,3.05084
2022-07-04,3:40,PDT,3.051801
2022-07-04,3:41,PDT,3.0527
2022-07-04,3:42,PDT,3.053538
2022-07-04,3:43,PDT,3.054315
2022-07-04,3:44,PDT,3.05503
2022-07-04,3:45,PDT,3.055683
2022-07-04,3:46,PDT,3.056275
2022-07-04,3:47,PDT,3.056804
2022-07-04,3:48,PDT,3.057271
2022-07-04,3:49,PDT,3.057676
2022-07-04,3:50,PDT,3.058018
2022-07-04,3:51,PDT,3.058298
2022-07-04,3:52,PDT,3.058514
2022-07-04,3:53,PDT,3.058668
2022-07-04,3:54,PDT,3.058758
2022-07-04,3:55,PDT,3.058785
2022-07-04,3:56,PDT,3.058748
2022-07-04,3:57,PDT,3.058648
2022-07-04,3:58,PDT,3.058483
2022-07-04,3:59,PDT,3.058255
2022-07-04,4:00,PDT,3.057963
2022-07-04,4:01,PDT,3.057606
2022-07-04,4:02,PDT,3.057185
2022-07-04,4:03,PDT,3.056699
2022-07-04,4:04,PDT,3.056148
2022-07-04,4:05,PDT,3.055533
2022-07-04,4:06,PDT,3.054853
2022-07-04,4:07,PDT,3.054107
2022-07-04,4:08,PDT,3.053297
2022-07-04,4:09,PDT,3.052421
2022-07-04,4:10,PDT,3.051479
2022-07-04,4:11,PDT,3.050472
2022-07-04,4:12,PDT,3.049399
2022-07-04,4:13,PDT,3.048261
2022-07-04,4:14,PDT,3.047056
2022-07-04,4:15,PDT,3.045786
2022-07-04,4:16,PDT,3.044449
2022-07-04,4:17,PDT,3.043046
2022-07-04,4:18,PDT,3.041577
2022-07-04,4:19,PDT,3.040042
2022-07-04,4:20,PDT,3.038439
2022-07-04,4:21,PDT,3.036771
2022-07-04,4:22,PDT,3.035036
2022-07-04,4:23,PDT,3.033234
2022-07-04,4:24,PDT,3.031365
2022-07-04,4:25,PDT,3.029429
2022-07-04,4:26,PDT,3.027427
2022-07-04,4:27,PDT,3.025357
2022-07-04,4:28,PDT,3.023221
2022-07-04,4:29,PDT,3.021017
2022-07-04,4:30,PDT,3.018746
2022-07-04,4:31,PDT,3.016408
2022-07-04,4:32,PDT,3.014003
2022-07-04,4:33,PDT,3.011531
2022-07-04,4:34,PDT,3.008992
2022-07-04,4:35,PDT,3.006385
2022-07-04,4:36,PDT,3.003711
2022-07-04,4:37,PDT,3.000969
2022-07-04,4:38,PDT,2.998161
2022-07-04,4:39,PDT,2.995285
2022-07-04,4:40,PDT,2.992342
2022-07-04,4:41,PDT,2.989332
2022-07-04,4:42,PDT,2.986254
2022-07-04,4:43,PDT,2.98311
2022-07-04,4:44,PDT,2.979898
2022-07-04,4:45,PDT,2.976619
2022-07-04,4:46,PDT,2.973273
2022-07-04,4:47,PDT,2.96986
2022-07-04,4:48,PDT,2.96638
2022-07-04,4:49,PDT,2.962833
2022-07-04,4:50,PDT,2.959219
2022-07-04,4:51,PDT,2.955539
2022-07-04,4:52,PDT,2.951792
2022-07-04,4:53,PDT,2.947979
2022-07-04,4:54,PDT,2.944099
2022-07-04,4:55,PDT,2.940152
2022-07-04,4:56,PDT,2.93614
2022-07-04,4:57,PDT,2.932062
2022-07-04,4:58,PDT,2.927917
2022-07-04,4:59,PDT,2.923707
2022-07-04,5:00,PDT,2.919431
2022-07-04,5:01,PDT,2.91509
2022-07-04,5:02,PDT,2.910683
2022-07-04,5:03,PDT,2.906211
2022-07-04,5:04,PDT,2.901674
2022-07-04,5:05,PDT,2.897073
2022-07-04,5:06,PDT,2.892407
2022-07-04,5:07,PDT,2.887676
2022-07-04,5:08,PDT,2.882881
2022-07-04,5:09,PDT,2.878023
2022-07-04,5:10,PDT,2.8731
2022-07-04,5:11,PDT,2.868114
2022-07-04,5:12,PDT,2.863065
2022-07-04,5:13,PDT,2.857953
2022-07-04,5:14,PDT,2.852778
2022-07-04,5:15,PDT,2.847541
2022-07-04,5:16,PDT,2.842242
2022-07-04,5:17,PDT,2.836881
2022-07-04,5:18,PDT,2.831458
2022-07-04,5:19,PDT,2.825974
2022-07-04,5:20,PDT,2.820429
2022-07-04,5:21,PDT,2.814823
2022-07-04,5:22,PDT,2.809157
2022-07-04,5:23,PDT,2.803431
2022-07-04,5:24,PDT,2.797645
2022-07-04,5:25,PDT,2.7918
2022-07-04,5:26,PDT,2.785897
2022-07-04,5:27,PDT,2.779935
2022-07-04,5:28,PDT,2.773914
2022-07-04,5:29,PDT,2.767836
2022-07-04,5:30,PDT,2.761701
2022-07-04,5:31,PDT,2.755508
2022-07-04,5:32,PDT,2.74926
2022-07-04,5:33,PDT,2.742955
2022-07-04,5:34,PDT,2.736594
2022-07-04,5:35,PDT,2.730178
2022-07-04,5:36,PDT,2.723708
2022-07-04,5:37,PDT,2.717183
2022-07-04,5:38,PDT,2.710604
2022-07-04,5:39,PDT,2.703972
2022-07-04,5:40,PDT,2.697287
2022-07-04,5:41,PDT,2.69055
2022-07-04,5:42,PDT,2.683761
2022-07-04,5:43,PDT,2.67692
2022-07-04,5:44,PDT,2.670029
2022-07-04,5:45,PDT,2.663087
2022-07-04,5:46,PDT,2.656095
2022-07-04,5:47,PDT,2.649055
2022-07-04,5:48,PDT,2.641965
2022-07-04,5:49,PDT,2.634827
2022-07-04,5:50,PDT,2.627641
2022-07-04,5:51,PDT,2.620409
2022-07-04,5:52,PDT,2.61313
2022-07-04,5:53,PDT,2.605805
2022-07-04,5:54,PDT,2.598434
2022-07-04,5:55,PDT,2.591019
2022-07-04,5:56,PDT,2.583559
2022-07-04,5:57,PDT,2.576056
2022-07-04,5:58,PDT,2.56851
2022-07-04,5:59,PDT,2.560922
2022-07-04,6:00,PDT,2.553292
2022-07-04,6:01,PDT,2.545621
2022-07-04,6:02,PDT,2.537909
2022-07-04,6:03,PDT,2.530157
2022-07-04,6:04,PDT,2.522366
2022-07-04,6:05,PDT,2.514537
2022-07-04,6:06,PDT,2.50667
2022-07-04,6:07,PDT,2.498765
2022-07-04,6:08,PDT,2.490823
2022-07-04,6:09,PDT,2.482846
2022-07-04,6:10,PDT,2.474833
2022-07-04,6:11,PDT,2.466786
2022-07-04,6:12,PDT,2.458705
2022-07-04,6:13,PDT,2.45059
2022-07-04,6:14,PDT,2.442443
2022-07-04,6:15,PDT,2.434264
2022-07-04,6:16,PDT,2.426053
2022-07-04,6:17,PDT,2.417812
2022-07-04,6:18,PDT,2.409541
2022-07-04,6:19,PDT,2.401241
2022-07-04,6:20,PDT,2.392912
2022-07-04,6:21,PDT,2.384555
2022-07-04,6:22,PDT,2.376172
2022-07-04,6:23,PDT,2.367762
2022-07-04,6:24,PDT,2.359326
2022-07-04,6:25,PDT,2.350865
2022-07-04,6:26,PDT,2.342379
2022-07-04,6:27,PDT,2.33387
2022-07-04,6:28,PDT,2.325338
2022-07-04,6:29,PDT,2.316784
2022-07-04,6:30,PDT,2.308209
2022-07-04,6:31,PDT,2.299612
2022-07-04,6:32,PDT,2.290996
2022-07-04,6:33,PDT,2.282359
2022-07-04,6:34,PDT,2.273705
2022-07-04,6:35,PDT,2.265032
2022-07-04,6:36,PDT,2.256342
2022-07-04,6:37,PDT,2.247635
2022-07-04,6:38,PDT,2.238912
2022-07-04,6:39,PDT,2.230174
2022-07-04,6:40,PDT,2.221422
2022-07-04,6:41,PDT,2.212655
2022-07-04,6:42,PDT,2.203876
2022-07-04,6:43,PDT,2.195084
2022-07-04,6:44,PDT,2.18628
2022-07-04,6:45,PDT,2.177466
2022-07-04,6:46,PDT,2.16864
2022-07-04,6:47,PDT,2.159805
2022-07-04,6:48,PDT,2.150962
2022-07-04,6:49,PDT,2.142109
2022-07-04,6:50,PDT,2.133249
2022-07-04,6:51,PDT,2.124382
2022-07-04,6:52,PDT,2.115509
2022-07-04,6:53,PDT,2.10663
2022-07-04,6:54,PDT,2.097746
2022-07-04,6:55,PDT,2.088857
2022-07-04,6:56,PDT,2.079965
2022-07-04,6:57,PDT,2.07107
2022-07-04,6:58,PDT,2.062172
2022-07-04,6:59,PDT,2.053273
2022-07-04,7:00,PDT,2.044373
2022-07-04,7:01,PDT,2.035472
2022-07-04,7:02,PDT,2.026571
2022-07-04,7:03,PDT,2.017671
2022-07-04,7:04,PDT,2.008772
2022-07-04,7:05,PDT,1.999875
2022-07-04,7:06,PDT,1.990981
2022-07-04,7:07,PDT,1.98209
2022-07-04,7:08,PDT,1.973203
2022-07-04,7:09,PDT,1.96432
2022-07-04,7:10,PDT,1.955442
2022-07-04,7:11,PDT,1.94657
2022-07-04,7:12,PDT,1.937704
2022-07-04,7:13,PDT,1.928845
2022-07-04,7:14,PDT,1.919993
2022-07-04,7:15,PDT,1.911149
2022-07-04,7:16,PDT,1.902313
2022-07-04,7:17,PDT,1.893486
2022-07-04,7:18,PDT,1.884669
2022-07-04,7:19,PDT,1.875862
2022-07-04,7:20,PDT,1.867066
2022-07-04,7:21,PDT,1.858281
2022-07-04,7:22,PDT,1.849508
2022-07-04,7:23,PDT,1.840747
2022-07-04,7:24,PDT,1.831998
2022-07-04,7:25,PDT,1.823263
2022-07-04,7:26,PDT,1.814542
2022-07-04,7:27,PDT,1.805835
2022-07-04,7:28,PDT,1.797143
2022-07-04,7:29,PDT,1.788466
2022-07-04,7:30,PDT,1.779804
2022-07-04,7:31,PDT,1.771159
2022-07-04,7:32,PDT,1.762531
2022-07-04,7:33,PDT,1.75392
2022-07-04,7:34,PDT,1.745327
2022-07-04,7:35,PDT,1.736752
2022-07-04,7:36,PDT,1.728195
2022-07-04,7:37,PDT,1.719657
2022-07-04,7:38,PDT,1.711139
2022-07-04,7:39,PDT,1.702641
2022-07-04,7:40,PDT,1.694163
2022-07-04,7:41,PDT,1.685706
2022-07-04,7:42,PDT,1.677271
2022-07-04,7:43,PDT,1.668857
2022-07-04,7:44,PDT,1.660465
2022-07-04,7:45,PDT,1.652095
2022-07-04,7:46,PDT,1.643748
2022-07-04,7:47,PDT,1.635425
2022-07-04,7:48,PDT,1.627125
2022-07-04,7:49,PDT,1.61885
2022-07-04,7:50,PDT,1.610598
2022-07-04,7:51,PDT,1.602372
2022-07-04,7:52,PDT,1.594171
2022-07-04,7:53,PDT,1.585996
2022-07-04,7:54,PDT,1.577846
2022-07-04,7:55,PDT,1.569723
2022-07-04,7:56,PDT,1.561627
2022-07-04,7:57,PDT,1.553557
2022-07-04,7:58,PDT,1.545516
2022-07-04,7:59,PDT,1.537502
2022-07-04,8:00,PDT,1.529516
2022-07-04,8:01,PDT,1.521558
2022-07-04,8:02,PDT,1.51363
2022-07-04,8:03,PDT,1.50573
2022-07-04,8:04,PDT,1.497861
2022-07-04,8:05,PDT,1.490021
2022-07-04,8:06,PDT,1.482211
2022-07-04,8:07,PDT,1.474431
2022-07-04,8:08,PDT,1.466683
2022-07-04,8:09,PDT,1.458966
2022-07-04,8:10,PDT,1.45128
2022-07-04,8:11,PDT,1.443626
2022-07-04,8:12,PDT,1.436004
2022-07-04,8:13,PDT,1.428414
2022-07-04,8:14,PDT,1.420857
2022-07-04,8:15,PDT,1.413334
2022-07-04,8:16,PDT,1.405843
2022-07-04,8:17,PDT,1.398386
2022-07-04,8:18,PDT,1.390963
2022-07-04,8:19,PDT,1.383575
2022-07-04,8:20,PDT,1.37622
2022-07-04,8:21,PDT,1.368901
2022-07-04,8:22,PDT,1.361617
2022-07-04,8:23,PDT,1.354368
2022-07-04,8:24,PDT,1.347155
2022-07-04,8:25,PDT,1.339978
2022-07-04,8:26,PDT,1.332837
2022-07-04,8:27,PDT,1.325732
2022-07-04,8:28,PDT,1.318665
2022-07-04,8:29,PDT,1.311634
2022-07-04,8:30,PDT,1.304641
2022-07-04,8:31,PDT,1.297686
2022-07-04,8:32,PDT,1.290768
2022-07-04,8:33,PDT,1.283889
2022-07-04,8:34,PDT,1.277048
2022-07-04,8:35,PDT,1.270246
2022-07-04,8:36,PDT,1.263483
2022-07-04,8:37,PDT,1.25676
2022-07-04,8:38,PDT,1.250076
2022-07-04,8:39,PDT,1.243432
2022-07-04,8:40,PDT,1.236827
2022-07-04,8:41,PDT,1.230264
2022-07-04,8:42,PDT,1.223741
2022-07-04,8:43,PDT,1.217259
2022-07-04,8:44,PDT,1.210818
2022-07-04,8:45,PDT,1.204418
2022-07-04,8:46,PDT,1.19806
2022-07-04,8:47,PDT,1.191745
2022-07-04,8:48,PDT,1.185471
2022-07-04,8:49,PDT,1.17924
2022-07-04,8:50,PDT,1.173052
2022-07-04,8:51,PDT,1.166907
2022-07-04,8:52,PDT,1.160805
2022-07-04,8:53,PDT,1.154746
2022-07-04,8:54,PDT,1.148732
2022-07-04,8:55,PDT,1.142762
2022-07-04,8:56,PDT,1.136836
2022-07-04,8:57,PDT,1.130954
2022-07-04,8:58,PDT,1.125118
2022-07-04,8:59,PDT,1.119326
2022-07-04,9:00,PDT,1.11358
2022-07-04,9:01,PDT,1.10788
2022-07-04,9:02,PDT,1.102225
2022-07-04,9:03,PDT,1.096617
2022-07-04,9:04,PDT,1.091055
2022-07-04,9:05,PDT,1.08554
2022-07-04,9:06,PDT,1.080071
2022-07-04,9:07,PDT,1.07465
2022-07-04,9:08,PDT,1.069276
2022-07-04,9:09,PDT,1.06395
2022-07-04,9:10,PDT,1.058672
2022-07-04,9:11,PDT,1.053443
2022-07-04,9:12,PDT,1.048261
2022-07-04,9:13,PDT,1.043128
2022-07-04,9:14,PDT,1.038045
2022-07-04,9:15,PDT,1.03301
2022-07-04,9:16,PDT,1.028025
2022-07-04,9:17,PDT,1.02309
2022-07-04,9:18,PDT,1.018204
2022-07-04,9:19,PDT,1.013369
2022-07-04,9:20,PDT,1.008584
2022-07-04,9:21,PDT,1.00385
2022-07-04,9:22,PDT,0.999167
2022-07-04,9:23,PDT,0.994535
2022-07-04,9:24,PDT,0.989954
2022-07-04,9:25,PDT,0.985425
2022-07-04,9:26,PDT,0.980948
2022-07-04,9:27,PDT,0.976523
2022-07-04,9:28,PDT,0.972151
2022-07-04,9:29,PDT,0.967831
2022-07-04,9:30,PDT,0.963563
2022-07-04,9:31,PDT,0.959349
2022-07-04,9:32,PDT,0.955188
2022-07-04,9:33,PDT,0.951081
2022-07-04,9:34,PDT,0.947027
2022-07-04,9:35,PDT,0.943028
2022-07-04,9:36,PDT,0.939082
2022-07-04,9:37,PDT,0.935191
2022-07-04,9:38,PDT,0.931355
2022-07-04,9:39,PDT,0.927573
2022-07-04,9:40,PDT,0.923847
2022-07-04,9:41,PDT,0.920176
2022-07-04,9:42,PDT,0.91656
2022-07-04,9:43,PDT,0.913
2022-07-04,9:44,PDT,0.909496
2022-07-04,9:45,PDT,0.906048
2022-07-04,9:46,PDT,0.902656
2022-07-04,9:47,PDT,0.899321
2022-07-04,9:48,PDT,0.896042
2022-07-04,9:49,PDT,0.89282
2022-07-04,9:50,PDT,0.889656
2022-07-04,9:51,PDT,0.886549
2022-07-04,9:52,PDT,0.883499
2022-07-04,9:53,PDT,0.880507
2022-07-04,9:54,PDT,0.877572
2022-07-04,9:55,PDT,0.874696
2022-07-04,9:56,PDT,0.871878
2022-07-04,9:57,PDT,0.869118
2022-07-04,9:58,PDT,0.866417
2022-07-04,9:59,PDT,0.863774
2022-07-04,10:00,PDT,0.86119
2022-07-04,10:01,PDT,0.858666
2022-07-04,10:02,PDT,0.8562
2022-07-04,10:03,PDT,0.853794
2022-07-04,10:04,PDT,0.851447
2022-07-04,10:05,PDT,0.84916
2022-07-04,10:06,PDT,0.846933
2022-07-04,10:07,PDT,0.844766
2022-07-04,10:08,PDT,0.842659
2022-07-04,10:09,PDT,0.840612
2022-07-04,10:10,PDT,0.838625
2022-07-04,10:11,PDT,0.836699
2022-07-04,10:12,PDT,0.834833
2022-07-04,10:13,PDT,0.833029
2022-07-04,10:14,PDT,0.831285
2022-07-04,10:15,PDT,0.829602
2022-07-04,10:16,PDT,0.82798
2022-07-04,10:17,PDT,0.826419
2022-07-04,10:18,PDT,0.82492
2022-07-04,10:19,PDT,0.823482
2022-07-04,10:20,PDT,0.822105
2022-07-04,10:21,PDT,0.82079
2022-07-04,10:22,PDT,0.819537
2022-07-04,10:23,PDT,0.818346
2022-07-04,10:24,PDT,0.817216
2022-07-04,10:25,PDT,0.816149
2022-07-04,10:26,PDT,0.815143
2022-07-04,10:27,PDT,0.8142
2022-07-04,10:28,PDT,0.813319
2022-07-04,10:29,PDT,0.8125
2022-07-04,10:30,PDT,0.811743
2022-07-04,10:31,PDT,0.811049
2022-07-04,10:32,PDT,0.810417
2022-07-04,10:33,PDT,0.809848
2022-07-04,10:34,PDT,0.809342
2022-07-04,10:35,PDT,0.808898
2022-07-04,10:36,PDT,0.808516
2022-07-04,10:37,PDT,0.808198
2022-07-04,10:38,PDT,0.807942
2022-07-04,10:39,PDT,0.807749
2022-07-04,10:40,PDT,0.807619
2022-07-04,10:41,PDT,0.807552
2022-07-04,10:42,PDT,0.807547
2022-07-04,10:43,PDT,0.807606
2022-07-04,10:44,PDT,0.807728
2022-07-04,10:45,PDT,0.807912
2022-07-04,10:46,PDT,0.80816
2022-07-04,10:47,PDT,0.80847
2022-07-04,10:48,PDT,0.808844
2022-07-04,10:49,PDT,0.80928
2022-07-04,10:50,PDT,0.80978
2022-07-04,10:51,PDT,0.810343
2022-07-04,10:52,PDT,0.810969
2022-07-04,10:53,PDT,0.811657
2022-07-04,10:54,PDT,0.812409
2022-07-04,10:55,PDT,0.813224
2022-07-04,10:56,PDT,0.814102
2022-07-04,10:57,PDT,0.815042
2022-07-04,10:58,PDT,0.816046
2022-07-04,10:59,PDT,0.817113
2022-07-04,11:00,PDT,0.818243
2022-07-04,11:01,PDT,0.819435
2022-07-04,11:02,PDT,0.820691
2022-07-04,11:03,PDT,0.822009
2022-07-04,11:04,PDT,0.82339
2022-07-04,11:05,PDT,0.824834
2022-07-04,11:06,PDT,0.826341
2022-07-04,11:07,PDT,0.82791
2022-07-04,11:08,PDT,0.829542
2022-07-04,11:09,PDT,0.831237
2022-07-04,11:10,PDT,0.832994
2022-07-04,11:11,PDT,0.834814
2022-07-04,11:12,PDT,0.836696
2022-07-04,11:13,PDT,0.838641
2022-07-04,11:14,PDT,0.840648
2022-07-04,11:15,PDT,0.842717
2022-07-04,11:16,PDT,0.844849
2022-07-04,11:17,PDT,0.847043
2022-07-04,11:18,PDT,0.849299
2022-07-04,11:19,PDT,0.851617
2022-07-04,11:20,PDT,0.853997
2022-07-04,11:21,PDT,0.856439
2022-07-04,11:22,PDT,0.858942
2022-07-04,11:23,PDT,0.861508
2022-07-04,11:24,PDT,0.864135
2022-07-04,11:25,PDT,0.866824
2022-07-04,11:26,PDT,0.869574
2022-07-04,11:27,PDT,0.872385
2022-07-04,11:28,PDT,0.875258
2022-07-04,11:29,PDT,0.878193
2022-07-04,11:30,PDT,0.881188
2022-07-04,11:31,PDT,0.884244
2022-07-04,11:32,PDT,0.887362
2022-07-04,11:33,PDT,0.89054
2022-07-04,11:34,PDT,0.893779
2022-07-04,11:35,PDT,0.897079
2022-07-04,11:36,PDT,0.900439
2022-07-04,11:37,PDT,0.90386
2022-07-04,11:38,PDT,0.907341
