SiteName,site_code,Transect,Date,Time_start,Depth_m,RLS_dist,Macro_5m2,Nereo_5m2,Macro,Nereo,Kelp,macro_biomass_trans,nereo_biomass_trans,biomass_trans_mean,height_mean,Area_m2
Dodger Channel 2,KCCA10,5,7/28/2022,11:45:00,5,40,42,0,8.4,0,8.4,3.4574400000000005,NA,3.4574400000000005,2.928,2816.753219
Dodger Channel 2,KCCA10,10,7/28/2022,11:45:00,5,45,26,0,5.2,0,5.2,3.6712000000000002,NA,3.6712000000000002,3.824,2816.753219
Dodger Channel 2,KCCA10,15,7/28/2022,11:45:00,5,50,47,0,9.4,0,9.4,4.0608,NA,4.0608,3.5475000000000003,2816.753219
Ross Islet 2,KCCA11,0,7/29/2022,14:15:00,3.2,2.5,55,0,11,0,11,4.0172,NA,4.0172,1.452,926.3335232
Ross Islet 2,KCCA11,5,7/29/2022,14:15:00,3.2,7.5,106,0,21.2,0,21.2,5.28304,NA,5.28304,1.9740000000000002,926.3335232
Ross Islet 2,KCCA11,10,7/29/2022,14:15:00,3.2,12.5,62,0,12.4,0,12.4,4.9352,NA,4.9352,1.564,926.3335232
Ross Islet 2,KCCA11,15,7/29/2022,14:15:00,3.2,17.5,18,0,3.6,0,3.6,0.5198400000000001,NA,0.5198400000000001,1.254,926.3335232
North Helby Rock,KCCA12,0,8/3/2022,11:18:00,3.5,35,55,0,11,0,11,7.449200000000001,NA,7.449200000000001,2.166,890.7275502
North Helby Rock,KCCA12,5,8/3/2022,11:18:00,3.5,40,17,0,3.4,0,3.4,0.8907999999999999,NA,0.8907999999999999,1.34,890.7275502
North Helby Rock,KCCA12,10,8/3/2022,11:18:00,3.5,45,21,0,4.2,0,4.2,2.3620799999999997,NA,2.3620799999999997,1.994,890.7275502
North Helby Rock,KCCA12,15,8/3/2022,11:18:00,3.5,50,27,0,5.4,0,5.4,1.88136,NA,1.88136,1.778,890.7275502
Second Beach South,KCCA13,0,8/5/2022,12:34:00,6.5,10,0,30,0,6,6,NA,7.804244123663663,7.804244123663663,4.732,13462.72317
Second Beach South,KCCA13,5,8/5/2022,12:34:00,6.5,15,0,38,0,7.6,7.6,NA,37.601450530580145,37.601450530580145,5.78,13462.72317
Second Beach South,KCCA13,10,8/5/2022,12:34:00,6.5,20,0,98,0,19.6,19.6,NA,21.07595556034874,21.07595556034874,6.176,13462.72317
Second Beach South,KCCA13,15,8/5/2022,12:34:00,6.5,25,0,61,0,12.2,12.2,NA,7.9060169681417305,7.9060169681417305,5.664,13462.72317
Danvers Danger Rock,KCCA14,0,8/6/2022,12:32:00,3,5,7,0,1.4,0,1.4,0.17583999999999997,NA,0.17583999999999997,0.7080000000000001,85.1392366
Danvers Danger Rock,KCCA14,5,8/6/2022,12:32:00,3,10,28,0,5.6,0,5.6,1.7382399999999998,NA,1.7382399999999998,1.18,85.1392366
Danvers Danger Rock,KCCA14,10,8/6/2022,12:32:00,3,15,7,0,1.4,0,1.4,0.17528,NA,0.17528,0.866,85.1392366
Danvers Danger Rock,KCCA14,15,8/6/2022,12:32:00,3,20,18,0,3.6,0,3.6,1.52496,NA,1.52496,1.876,85.1392366
Cable Beach (Blow Hole),KCCA15,0,8/7/2022,12:27:00,3,5,0,11,0,2.2,2.2,NA,1.435636227759165,1.435636227759165,1.99,411.7314613
Cable Beach (Blow Hole),KCCA15,5,8/7/2022,12:27:00,3,10,0,17,0,3.4,3.4,NA,3.1499301600287857,3.1499301600287857,2.056,411.7314613
Cable Beach (Blow Hole),KCCA15,10,8/7/2022,12:27:00,3,15,0,9,0,1.8,1.8,NA,1.427349859722929,1.427349859722929,2.172,411.7314613
Cable Beach (Blow Hole),KCCA15,15,8/7/2022,12:27:00,3,20,0,20,0,4,4,NA,3.745578299368276,3.745578299368276,2.046,411.7314613
Tzartus 116,KCCA16,0,8/18/2022,11:50:00,3.7,5,33,0,6.6,0,6.6,1.8902399999999997,NA,1.8902399999999997,2.344,1457.559884
Tzartus 116,KCCA16,5,8/18/2022,11:50:00,3.7,10,36,0,7.2,0,7.2,2.9484,NA,2.9484,3.4875,1457.559884
Tzartus 116,KCCA16,10,8/18/2022,11:50:00,3.7,15,11,0,2.2,0,2.2,0.4620000000000001,NA,0.4620000000000001,2.33,1457.559884
Tzartus 116,KCCA16,15,8/18/2022,11:50:00,3.7,20,53,0,10.6,0,10.6,2.5227999999999997,NA,2.5227999999999997,1.836,1457.559884
Turf Island 2,KCCA17,0,8/20/2022,12:00:00,2.4,12.5,19,0,3.8,0,3.8,0.48792,NA,0.48792,0.732,972.4824151
Turf Island 2,KCCA17,5,8/20/2022,12:00:00,2.4,17.5,71,0,14.2,0,14.2,4.31112,NA,4.31112,1.542,972.4824151
Turf Island 2,KCCA17,10,8/20/2022,12:00:00,2.4,22.5,74,0,14.8,0,14.8,1.6043200000000002,NA,1.6043200000000002,0.706,972.4824151
Turf Island 2,KCCA17,15,8/20/2022,12:00:00,2.4,27.5,122,0,24.4,0,24.4,9.232959999999999,NA,9.232959999999999,1.712,972.4824151
Second Beach,KCCA18,0,8/21/2022,13:40:00,4.3,20,0,40,0,8,8,NA,9.556465255875535,9.556465255875535,4.918,840.9770157
Second Beach,KCCA18,5,8/21/2022,13:40:00,4.3,25,0,25,0,5,5,NA,5.450106241998046,5.450106241998046,4.32,840.9770157
Second Beach,KCCA18,10,8/21/2022,13:40:00,4.3,30,0,32,0,6.4,6.4,NA,9.417174307788487,9.417174307788487,4.184,840.9770157
Second Beach,KCCA18,15,8/21/2022,13:40:00,4.3,35,0,20,0,4,4,NA,3.605035918655307,3.605035918655307,2.8579999999999997,840.9770157
Wizard Islet North,KCCA19,0,8/22/2022,12:55:00,5,20,0,0,0,0,0,NA,0,0,0,NA
Wizard Islet North,KCCA19,5,8/22/2022,12:55:00,5,25,0,0,0,0,0,NA,0,0,0,NA
Wizard Islet North,KCCA19,10,8/22/2022,12:55:00,5,30,0,2,0,0.4,0.4,NA,0.24755902860305823,0.24755902860305823,2.2800000000000002,NA
Wizard Islet North,KCCA19,15,8/22/2022,12:55:00,5,25,0,0,0,0,0,NA,0,0,0,NA
Nanat Bay,KCCA20,0,8/31/2022,12:27:00,5.5,5,18,0,3.6,0,3.6,2.5891200000000003,NA,2.5891200000000003,3.288,3156.892888
Nanat Bay,KCCA20,5,8/31/2022,12:27:00,5.5,10,3,0,0.6,0,0.6,0.35719999999999996,NA,0.35719999999999996,0.96,3156.892888
Nanat Bay,KCCA20,10,8/31/2022,12:27:00,5.5,15,1,0,0.2,0,0.2,0.0892,NA,0.0892,1.1,3156.892888
Nanat Bay,KCCA20,15,8/31/2022,12:27:00,5.5,20,1,0,0.2,0,0.2,0.2144,NA,0.2144,6.65,3156.892888
Bordelais Island,KCCA21,0,9/1/2022,12:34:00,3.5,5,0,9,0,1.8,1.8,NA,1.1097752760342898,1.1097752760342898,3.546,1837.342447
Bordelais Island,KCCA21,5,9/1/2022,12:34:00,3.5,10,0,7,0,1.4,1.4,NA,1.7242519965176422,1.7242519965176422,6.13,1837.342447
Bordelais Island,KCCA21,10,9/1/2022,12:34:00,3.5,15,0,3,0,0.6,0.6,NA,0.6993531509005736,0.6993531509005736,2.53,1837.342447
Bordelais Island,KCCA21,15,9/1/2022,12:34:00,3.5,20,0,15,0,3,3,NA,4.008966072862528,4.008966072862528,5.04,1837.342447
Taylor Rock,KCCA22,0,9/5/2022,13:03:00,3.5,7.5,67,7,13.4,1.4,14.8,4.427359999999999,0.9432952648648973,5.370655264864896,2.016,1692.986931
Taylor Rock,KCCA22,5,9/5/2022,13:03:00,3.5,12.5,79,8,15.8,1.6,17.400000000000002,6.857200000000001,1.4708681650308764,8.328068165030878,2.488,1692.986931
Taylor Rock,KCCA22,10,9/5/2022,13:03:00,3.5,17.5,102,7,20.4,1.4,21.799999999999997,9.68592,0.920942580625949,10.606862580625949,2.23,1692.986931
Taylor Rock,KCCA22,15,9/5/2022,13:03:00,3.5,22.5,15,11,3,2.2,5.2,0.5316,1.75188255466265,2.28348255466265,2.463,1692.986931
Flemming 114,KCCA23,0,9/8/2022,11:45:00,7,10,12,0,2.4,0,2.4,0.00888,NA,0.00888,3.194,390.8039057
Flemming 114,KCCA23,5,9/8/2022,11:45:00,7,15,11,0,2.2,0,2.2,1.5664,NA,1.5664,5.28,390.8039057
Flemming 114,KCCA23,10,9/8/2022,11:45:00,7,20,0,0,0,0,0,0,NA,0,0,390.8039057
Flemming 114,KCCA23,15,9/8/2022,11:45:00,7,25,15,0,3,0,3,1.201788,NA,1.201788,2.23,390.8039057
Sand Town,KCCA24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
