phylum,class,order,family,species_name,weight_per_indiv_g,n
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,132.24483757139043,1
Mollusca,Cephalopoda,Octopoda,Enteroctopodidae,Enteroctopus dofleini,137.5,4
Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus rubescens,80,1
Mollusca,Gastropoda,Caenogastropoda,Epitoniidae,Opalia wroblewskyi,1,1
Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora aspera,1,96
Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura crenulata,1,7
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,0,22
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,1.7192374634027787,76
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,15.799081968480378,122
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,57.82609711908745,116
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,145.18703574125385,94
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,296.5103654190193,45
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,531.3979410927564,21
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,1334.2088729829923,3
Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis kamtschatkana,2724.807751971178,1
Mollusca,Gastropoda,Littorinimorpha,Naticidae,Neverita lewisii,1,3
Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma foliatum,1,182
Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella lamellosa,1,11
Mollusca,Gastropoda,Nudibranchia,Arminidae,Armina californica,0.54,1
Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina luteomarginata,0.54,13
Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina modesta,0.54,3
Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina sylviaearleae,0.54,1
Mollusca,Gastropoda,Nudibranchia,Coryphellidae,Coryphella verrucosa,0.54,1
Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus iris,0.54,12
Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona albolineata,0.54,33
Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona pellucida,0.54,1
Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula odonoghuei,0.54,31
Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula sandiegensis,0.54,28
Mollusca,Gastropoda,Nudibranchia,Discodorididae,Peltodoris nobilis,0.54,52
Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris montereyensis,0.54,33
Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris odhneri,0.54,17
Mollusca,Gastropoda,Nudibranchia,Janolidae,Antiopella fusca,0.54,8
Mollusca,Gastropoda,Nudibranchia,Myrrhinidae,Hermissenda crassicornis,0.54,77
Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris hudsoni,0.54,15
Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris nanaimoensis,0.54,8
Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris bilamellata,0.54,1
Mollusca,Gastropoda,Nudibranchia,Polyceridae,Limacia cockerelli,0.54,11
Mollusca,Gastropoda,Nudibranchia,Polyceridae,Polycera tricolor,0.54,10
Mollusca,Gastropoda,Nudibranchia,Polyceridae,Triopha catalinae,0.54,3
Mollusca,Gastropoda,Nudibranchia,Polyceridae,Triopha modesta,0.54,20
Mollusca,Gastropoda,Nudibranchia,Polyceridae,Triopha spp.,0.54,4
Mollusca,Gastropoda,Nudibranchia,Tethydidae,Melibe leonina,0.54,2
Mollusca,Gastropoda,Nudibranchia,Tritoniidae,Tritonia festiva,0.54,3
Mollusca,Gastropoda,Patellogastropoda,Acmaeidae,Acmaea mitra,1,162
Mollusca,Gastropoda,Patellogastropoda,Lottiidae,Lottia scutum,1,12
Mollusca,Gastropoda,Pleurobranchida,Pleurobranchidae,Berthella chacei,1,3
Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma ligatum,1,7
Mollusca,Gastropoda,Trochida,Tegulidae,Tegula funebralis,1,1
Mollusca,Gastropoda,Trochida,Turbinidae,Pomaulax gibberosus,31,173
Platyhelminthes,NA,Polycladida,Euryleptidae,Eurylepta leoparda,0.5,1
